Model,Params,Accuracy Mean,Accuracy Std,Precision Mean,Precision Std,Recall Mean,Recall Std,F1-Score Mean,F1-Score Std,Log Loss Mean,AUC Mean
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",0.475,0.020976176963403027,0.5083481423396935,0.026311613472896525,0.475,0.020976176963403027,0.45802498441682105,0.01974384781783958,1.1300954887211265,0.7769355864845939
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2'}",0.449,0.02576819745345024,0.45930760502251966,0.036366136034325966,0.449,0.02576819745345024,0.4257898607609797,0.028032388323306533,1.158496095472573,0.7508780007002802
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None}",0.5189999999999999,0.018547236990991426,0.5283866422223978,0.017788734126146063,0.5189999999999999,0.018547236990991426,0.5095406865522373,0.01888708978212466,1.0725019400148308,0.8017910514705882
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",0.473,0.030265491900843114,0.5045628701512095,0.040867542380356586,0.473,0.030265491900843114,0.4533317276350964,0.03231811931829164,1.1298799096817054,0.7765488571428569
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2'}",0.45899999999999996,0.02130727575266251,0.4949287564053243,0.025047899089298747,0.45899999999999996,0.02130727575266251,0.4343343167611312,0.02160369517243868,1.1413124515977082,0.7720116915266106
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': None}",0.501,0.03120897306865448,0.5133160205994809,0.0370054064196204,0.501,0.03120897306865448,0.49282394039430316,0.03154477516404564,1.074862519491141,0.7998518963585435
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",0.501,0.03891015291668746,0.5279058320075124,0.04335842958941478,0.501,0.03891015291668746,0.487430646838167,0.03742445306837909,1.1253209259390653,0.780259762254902
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2'}",0.47300000000000003,0.02501999200639361,0.5121443463653564,0.03792844058778604,0.47300000000000003,0.02501999200639361,0.45950412689839937,0.02803646888528232,1.1375392360229766,0.770701005602241
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': None}",0.5149999999999999,0.028106938645110397,0.5308031407776259,0.02969041038418148,0.5149999999999999,0.028106938645110397,0.508639789460565,0.029241561770097176,1.0715646903771692,0.8036216137955183
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",0.4720000000000001,0.028035691537752372,0.49972836426841144,0.01600890617482462,0.4720000000000001,0.028035691537752372,0.45477998348131654,0.0259355065251935,1.12989905200559,0.7830246018907563
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2'}",0.458,0.013266499161421598,0.4841753875722962,0.017604775714964528,0.458,0.013266499161421598,0.4348672614098429,0.01628004638151698,1.1496333126614318,0.7647611036414567
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': None}",0.516,0.02672077843177478,0.5259269216095084,0.029405937843048707,0.516,0.02672077843177478,0.5055233740368679,0.026991615227995258,1.0695253660593549,0.8045877496498599
RandomForest,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",0.45999999999999996,0.017029386365926397,0.5104082213653797,0.04904129686426384,0.45999999999999996,0.017029386365926397,0.4232501852771823,0.00853889890318989,1.1365148811637646,0.7816529334733893
RandomForest,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2'}",0.45,0.037682887362833546,0.4858178070605678,0.04730091295473965,0.45,0.037682887362833546,0.4134702269043003,0.0387476580732362,1.1598267818808758,0.7591442633053221
RandomForest,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None}",0.499,0.03426368339802363,0.5167401503596811,0.0383873574017771,0.499,0.03426368339802363,0.48833605883079256,0.029467266419899864,1.0808586771753146,0.8012127359943978
RandomForest,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",0.45499999999999996,0.015165750888103095,0.516432827633267,0.03291171335914787,0.45499999999999996,0.015165750888103095,0.42666196142851776,0.0183158340201914,1.1385378771037593,0.7777170728291317
RandomForest,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2'}",0.45599999999999996,0.014628738838327797,0.511027734042995,0.04190856567165451,0.45599999999999996,0.014628738838327797,0.4214793136643151,0.016768803639690934,1.1570141385581283,0.7628518151260504
RandomForest,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': None}",0.503,0.02694438717061498,0.5191220769510165,0.02928141087968774,0.503,0.02694438717061498,0.491226585611364,0.022285752240458905,1.0843386149513865,0.7978383151260504
